"status","general_grade","developers","grade_url","name","area","price","green_grade","newest_made_time","given_time","detail_address","around_grade","type","traffic_grade"
"在售","0","新西南房地产有限公司","https://cd.fang.lianjia.com//loupan/p_ayjlwbjhqa/","奥园玖俪湾","新都","12949","0","2018.12.01","待定","中利路奥园玖俪湾","0","住宅","0"
"在售","0","新西南房地产有限公司","https://cd.fang.lianjia.com//loupan/p_ayjlwbjifb/","奥园玖俪湾","新都","14000","0","2018.12.06","2021年12月31日","中利路奥园玖俪湾","0","别墅","0"
"在售","null"," 成都吉广润投资有限公司","https://cd.fang.lianjia.com//loupan/p_hyjhcbjnhk/","寰宇君汇城","龙泉驿","50000","0","2018.10.25","2021年08月31日","菱西路9号","0","底商","0"
"在售","5","成都招商龙城房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_bcbisdl/","招商大魔方","高新","26000","5","2018.06.29","待定","锦城大道与天府大道交汇处（锦江旁）","5","商业类","5"
"在售","0","朗基集团","https://cd.fang.lianjia.com//loupan/p_ljxyfbiwes/","朗基香樾府","新都","11650","0","2018.12.01","2020年12月31日","大丰街道先驱大道与大天路交汇处 ","0","住宅","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_rxssbjsvo/","瑞祥商厦","成华","13000","null","null","null","null","null","商业类","null"
"在售","0","四川瑞富达实业有限公司","https://cd.fang.lianjia.com//loupan/p_tfjxcbjqhy/","棠府锦绣城","双流","9800","0","2019.07.18","2020年07月31日","双流东升街道航园路（棠湖中学实验学校旁）","0","商业类","0"
"在售","null","四川瑞富达实业有限公司","https://cd.fang.lianjia.com//loupan/p_tfjxcbjqik/","棠府锦绣城","双流","30000","0","2018.07.18","2020年07月31日","城北上街499号","0","底商","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_jxltbjnjr/","锦巷兰台","郫都","6600","null","null","null","null","null","写字楼","null"
"在售","0.3","成都通瑞置业有限公司","https://cd.fang.lianjia.com//loupan/p_ylxcdbjcex/","永立星城都","成华","60000","0.3","2018.09.26","2018年10月01日","二环路与府青路交汇处（原512建材市场旁）","0.3","底商","0.3"
"在售","2.8","绿地集团成都蜀峰房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_ldyafmft/","绿地468星曜","锦江","16000","2.6","2018.04.15","2020年09月30日","驿都大道地铁二号线洪河站口","2.8","商业类","2.9"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_lhfcbjpni/","龙湖梵城","成华","20000","null","null","null","null","null","商业","null"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_wkjntbjhzs/","万科璟南堂","高新","23000","null","null","null","null","null","住宅","null"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_zcsmcbjphc/","中川商贸城","双流","13500","null","null","null","null","null","商业","null"
"在售","null","成都友星园林有限公司","https://cd.fang.lianjia.com//loupan/p_rqyrcbjmta/","融侨悦蓉城","新都","55","0","2019.01.31","2020年09月30日","南丰大道融侨悦蓉城","0","商业类","0"
"在售","null","成都友星园林有限公司","https://cd.fang.lianjia.com//loupan/p_rqyrcbjngu/","融侨悦蓉城","新都","60","0","2019.01.31","2020年09月30日","南丰大道融侨悦蓉城","0","商业","0"
"在售","null","成都友星园林有限公司","https://cd.fang.lianjia.com//loupan/p_rqyrcbjmsz/","融侨悦蓉城","新都","185","0","2019.01.31","2020年09月30日","南丰大道融侨悦蓉城","0","别墅","0"
"在售","3.3","四川西蜀恒盛投资有限公司","https://cd.fang.lianjia.com//loupan/p_xsxrfaaljw/","西蜀祥瑞府","郫都","6880","3.4","2014.05","2015年06月","古城镇蜀汉北街102号","3.3","住宅","3.3"
"在售","null","成都首创正华置业有限公司","https://cd.fang.lianjia.com//loupan/p_scghcbjtcx/","首创光和城","成华","50000","0","2018.07","2018年07月","荆竹东路与东荆路首创花与城一期","0","商业","0"
"在售","null","成都首创正华置业有限公司","https://cd.fang.lianjia.com//loupan/p_scghcbjtct/","首创光和城","成华","50000","0","2018.07","2018年07月","荆竹东路与东荆路首创花与城一期","0","底商","0"
"在售","0","成都环球世纪会展旅游集团有限公司","https://cd.fang.lianjia.com//loupan/p_sjcmxpbirqv/","世纪城梦想派","高新","15000","0","2018.10.05","2019年10月02日","世纪城会展中心198号","0","商业类","0.1"
"在售","null","中海佳锦房地产开发成都有限公司","https://cd.fang.lianjia.com//loupan/p_zhyhsjbjpnc/","中海御湖世家","龙泉驿","19960","0","2018.12.13","2020年12月31日","蜀王大道北段中海御湖世家","0","住宅","0"
"在售","0.4","成都航逸置业有限公司","https://cd.fang.lianjia.com//loupan/p_bltkzcafrqn/","保利天空之城","天府新区","16000","0.5","2018.06.20","待定","兴隆街道罗家店村八组201号","0.4","住宅","0.5"
"在售","null","成都方正远诚信息科技有限公司","https://cd.fang.lianjia.com//loupan/p_bycsgcbjqfb/","博雅城市广场","高新","42000","0","2018.12.20","2020年06月","新川路博雅城市广场","0","底商","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_kgslqbjkov/","空港十六区","双流","8000","null","null","null","null","null","商业类","null"
"在售","0","成都永进合能房地产有限公司","https://cd.fang.lianjia.com//loupan/p_hnfdxybjhth/","合能枫丹西悦","温江","8200","0","2018.12.13","2020年06月30日","温江区公平镇春江路(成都市农林科学院旁)","0","住宅","0"
"在售","2.3","绿地集团成都申龙房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_ldyrggafmix/","绿地悦蓉公馆","成华","35000","2.3","2017.09.01","2019年12月31日","桂林西路88号（桂林小学对面）","2.3","底商","2.3"
"在售","0","四川瀚锋置业有限公司","https://cd.fang.lianjia.com//loupan/p_hynjtxbjjbv/","花样年家天下","双流","30000","0","2018.12.15","2019年12月31日","天府五街与江安河交汇处（天府软件园E区以南）","0","底商","0"
"在售","0","成都汉正置业发展有限公司","https://cd.fang.lianjia.com//loupan/p_cbhzgcbjend/","重百汉正广场","郫都","8500","0","2014.10.10","2017年12月31日","郫都区郫筒镇杜鹃路46号","0","商业类","0"
"在售","1.3","成都金凯盛瑞房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_jkjmxfbjjbq/","金科集美学府","双流","14000","1.3","2019.02","2020年07月31日","迎春路241号","1.3","住宅","1.3"
"在售","0","四川雅居乐房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_yjljqjbjiyl/","雅居乐剑桥郡","天府新区","9000","0","2018.12","2019年12月31日","麓山大道二段19号","0","底商","0"
"在售","0","成都世茂新里程置业有限公司","https://cd.fang.lianjia.com//loupan/p_smmlfgcbjhrr/","世茂茂立方广场","成华","9400","0","2018.10.19","2020年09月30日","和顺西一路9号","0","商业类","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_scjzaakqt/","首创娇子1号","锦江","320","null","null","null","null","null","别墅","null"
"在售","0","成都朗诗置业有限公司","https://cd.fang.lianjia.com//loupan/p_thlsjscbjdte/","太行朗诗金沙城","青羊","20000","0","2018.10","2021年04月","百仁生态区内（三环路西四段）","0","商业","0"
"在售","0","成都九峰汽车汽配商城经营管理有限公司","https://cd.fang.lianjia.com//loupan/p_xfdfbhlbjjbz/","幸福东方白桦林","龙泉驿","6700","0","2018.12.08","2020年12月31日","成洛大道5632号","0","商业类","0"
"在售","null","成都泰博置业有限公司","https://cd.fang.lianjia.com//loupan/p_tblxceqbjumz/","泰博理想城二期","成华","35000","0","2018.12","2019年04月","二仙桥北二路2号","0","底商","0"
"在售","null","四川瑞升置地有限公司","https://cd.fang.lianjia.com//loupan/p_rscbxslbjqhi/","瑞升城北橡树林","金牛","50000","0","2015.06.15","2017年07月25日","解放路一段20号","0","底商","0"
"在售","0.1","成都鑫蜀道置业有限公司","https://cd.fang.lianjia.com//loupan/p_bgyslysbjbll/","碧桂园十里源墅","温江","25000","0.1","2019.07.10","待定","永宁镇宁泰路99号","0.1","别墅","0.1"
"在售","0.1","成都新达远房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_hynlnzxbirqj/","花样年龙年中心","郫都","12000","0.1","2018.09.09","2021年09月30日","郫花路299号（郫花路与关柏路交汇处）","0.1","商业类","0.1"
"在售","null","成都首创正华置业有限公司","https://cd.fang.lianjia.com//loupan/p_jzdlydjlschyceqbjstu/","首创光和城二期","成华","50000","0","2018.07","2018年07月","荆竹东路与东荆路首创花与城二期","0","商业","0"
"在售","0","成都七一置业有限公司","https://cd.fang.lianjia.com//loupan/p_qyslcshybjnhb/","七一森林城市花园","新都","60000","0","2018.12.05","2019年08月31日","新泰东路71号","0","底商","0"
"在售","null","成都世纪中南房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_znrcjhtdbjtjt/","中南融创玖华台邸","成华","50000","0","2018.08.30","2020年12月31日","成华区建设南路50号","0","商业","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_yjljqjbjiyn/","雅居乐剑桥郡","天府新区","9000","null","null","null","null","null","商业","null"
"在售","0","成都渝瑞房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_hyxhjxhcbjjka/","华宇旭辉锦绣花城","成华","19200","0","2018.11.15","2020年05月30日","龙潭立交外路桂林西路（龙潭路与桂林西路交汇处）","0","别墅","0"
"在售","null","成都招商博时房地产开发有限公司","https://cd.fang.lianjia.com//loupan/p_bcbisex/","招商中央华城商铺","成华","40000","0","2017.04.01","待定","成都市成华区杉板桥路601号","0","底商","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_zznxleqaeefk/","中洲南熙里二期","高新","39000","null","null","null","null","null","商业","null"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_bjcjlywbjjti/","北京城建龙樾湾","双流","15000","null","null","null","null","null","别墅","null"
"在售","null","成都中铁轨道科技有限公司","https://cd.fang.lianjia.com//loupan/p_bcbjbqg/","中铁诺德壹号YoHo街","天府新区","22500","0","2018.09.30","待定","兴隆湖湖畔路南段","0","商业","0"
"在售","null","null","https://cd.fang.lianjia.com//loupan/p_xxxlyyqbjpjb/","协信星鹭园一期","双流","12000","null","null","null","null","null","别墅","null"
